Year,Team,Total Revnue (in millions),Ticket Sales (in millions),Naming Rights (in millions),Marketing
2019-20,Atlanta Hawks,$222 ,$31 ,$9 ,
2019-20,Chicago Bulls,$300 ,$65 ,$5 ,
2019-20,Dallas Mavericks,$295 ,$53 ,$7 ,
2019-20,Golden State Warriors,$474 ,$150 ,$15 ,
2019-20,Indiana Pacers,$217 ,$31 ,$2 ,
2019-20,Los Angeles Lakers,$400 ,$80 ,$5 ,
2019-20,Minnesota Timberwolves,$214 ,$24 ,$2 ,
2019-20,New York Knicks,$421 ,$108 ,N/A,
2019-20,Oklahoma City Thunder,$236 ,$52 ,$3 ,
2019-20,Phoenix Suns,$222 ,$30 ,,
2020-21,Atlanta Hawks,$199 ,$20 ,$9 ,
2020-21,Chicago Bulls,$213 ,$2 ,$5 ,
2020-21,Dallas Mavericks,$231 ,$9 ,$7 ,
2020-21,Golden State Warriors,$258 ,$7 ,$15 ,
2020-21,Indiana Pacers,$179 ,$4 ,,
2020-21,Los Angeles Lakers,$316 ,$10 ,$35 ,
2020-21,Minnesota Timberwolves,$199 ,,,
2020-21,New York Knicks,$298 ,$18 ,N/A,
2020-21,Oklahoma City Thunder,$183 ,,$9 ,
2020-21,Phoenix Suns,$206 ,$25 ,,
2021-22,Atlanta Hawks,$282 ,$53 ,$9 ,
2021-22,Chicago Bulls,$352 ,$92 ,$5 ,
2021-22,Dallas Mavericks,$364 ,$105 ,$7 ,
2021-22,Golden State Warriors,$765 ,$257 ,$15 ,
2021-22,Indiana Pacers,$264 ,$32 ,,
2021-22,Los Angeles Lakers,$465 ,$102 ,$35 ,
2021-22,Minnesota Timberwolves,$271 ,$44 ,,
2021-22,New York Knicks,$452 ,$133 ,N/A,
2021-22,Oklahoma City Thunder,$274 ,$45 ,,
2021-22,Phoenix Suns,$302 ,$76 ,$9 ,