Year,Team,Total Revnue (in millions),Ticket Sales (in millions),Naming Rights,TV/Radio Deals,Merchandising
2019-20,Atlanta Hawks,$222,,,,
2019-20,Chicago Bulls,$300,,,,
2019-20,Dallas Mavericks,$295,,,,
2019-20,Golden State Warriors,$474,,,,
2019-20,Indiana Pacers,,$31,,,
2019-20,Los Angeles Lakers,,,,,
2019-20,Minnesota Timberwolves,,,,,
2019-20,New York Knicks,,,,,
2019-20,Oklahoma City Thunder,,,,,
2019-20,Phoenix Suns,,,,,
2020-21,Atlanta Hawks,$199,,,,
2020-21,Chicago Bulls,$213,,,,
2020-21,Dallas Mavericks,$231,,,,
2020-21,Golden State Warriors,$258,,,,
2020-21,Indiana Pacers,,$4,,,
2020-21,Los Angeles Lakers,,,,,
2020-21,Minnesota Timberwolves,,,,,
2020-21,New York Knicks,,,,,
2020-21,Oklahoma City Thunder,,,,,
2020-21,Phoenix Suns,,,,,
2021-22,Atlanta Hawks,$282,,,,
2021-22,Chicago Bulls,$352,,,,
2021-22,Dallas Mavericks,$364,,,,
2021-22,Golden State Warriors,$765,,,,
2021-22,Indiana Pacers,$264,$32,,,
2021-22,Los Angeles Lakers,$465,,,,
2021-22,Minnesota Timberwolves,$271,,,,
2021-22,New York Knicks,$452,,,,
2021-22,Oklahoma City Thunder,$274,,,,
2021-22,Phoenix Suns,$302,,,,
2022-23,Atlanta Hawks,,,,,
2022-23,Chicago Bulls,,,,,
2022-23,Dallas Mavericks,,,,,
2022-23,Golden State Warriors,,,,,
2022-23,Indiana Pacers,,,,,
2022-23,Los Angeles Lakers,,,,,
2022-23,Minnesota Timberwolves,,,,,
2022-23,New York Knicks,,,,,
2022-23,Oklahoma City Thunder,,,,,
2022-23,Phoenix Suns,,,,,