Season,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,TOV,STL
2019-20,Atlanta Dream,34,40.1,71.2,25.6,69.2,37.1,6.4,22,29,13.5,18,75.2,36.1,15.7,14.4,6.6
2019-20,Chicago Sky,34,40.1,84.6,31.4,70,44.8,7.3,21.6,33.6,14.6,17.9,81.9,36.4,21.6,15.3,6.8
2019-20,Dallas Wings,34,40,71.6,25.9,66.6,38.9,6.4,19.5,32.6,13.5,16.6,81.1,33.9,15.2,14.6,7.3
2019-20,Indiana Fever,34,40.3,77.6,29,68.6,42.2,5.8,16.7,34.6,13.9,17.4,79.4,35.1,17.3,13.9,6.3
2019-20,Los Angeles Sparks,34,40.1,80.1,30.3,70.2,43.2,7.1,20.9,34.1,12.3,14.7,83.8,34.2,18.6,14.4,8.2
2019-20,Las Vegas Aces,34,40.3,82.2,30,70.3,42.7,5.5,15,36.7,16.7,21.5,77.7,38.8,20.9,14.6,7.1
2019-20,Minnesota Lynx,34,40,78.4,30.3,67.1,45.1,5.8,17.5,33.2,12.1,15.4,78.1,34,20.3,16.2,8.4
2019-20,New York Liberty,34,40,77.4,28.7,69.4,41.4,6.5,19.6,33.4,13.4,17,78.8,34.6,19.6,15.4,6.8
2019-20,Phoenix Mercury,34,40.1,76.5,27.2,64.2,42.4,6.6,20.2,32.5,15.5,18.4,84.6,32.5,17.9,13.2,5.9
2019-20,Seattle Storm,34,40,74.8,27.8,66.2,42,7.1,21.1,33.6,12.1,15.2,79.2,32,17.7,15.7,9.5
2020-21,Atlanta Dream,22,40.2,81,31.4,71,44.2,5.9,16.9,35,12.2,16.1,75.8,34.9,16.9,14.9,6.9
2020-21,Chicago Sky,22,40,86.7,33.5,68.2,49.1,7.6,21.6,35.1,12.1,14.9,81.7,33.6,21.8,15.6,7.5
2020-21,Dallas Wings,22,40.5,83.4,29.5,71,41.5,8.9,27.6,32.3,15.6,19.1,81.5,32.7,15.6,12.4,8.2
2020-21,Indiana Fever,22,40,81.7,29.5,66.7,44.2,6.9,20,34.5,15.9,19.4,81.9,33.7,19.2,15.9,5.1
2020-21,Los Angeles Sparks,22,40.2,84.9,32.2,67,48.1,7.2,18.1,39.8,13.3,16.8,79.2,31.4,20,14.4,9
2020-21,Las Vegas Aces,22,40,88.7,32.7,68.7,47.6,4.2,11.5,36.6,19,23.4,81.5,37.4,20.8,12.5,7.8
2020-21,Minnesota Lynx,22,40,84.4,30.6,67,45.6,8.3,21.5,38.5,15,18.3,81.8,34.4,19.8,14.9,8.4
2020-21,New York Liberty,22,40,71.9,24.5,66,37.2,7.6,27.4,27.7,15.2,18.5,82.3,35.8,14.9,17.8,6.3
2020-21,Phoenix Mercury,22,40.2,86.1,30.2,67,45,8.4,24.5,34.3,17.4,21,82.5,34,20.4,15.2,6.8
2020-21,Seattle Storm,22,40,87.5,31.9,67.8,47,8.4,21.4,39.4,15.4,18.9,81.7,34.4,21.9,14,10
2021-22,Atlanta Dream,32,40.3,78.7,30.6,73.5,41.7,6.1,19.8,31,11.3,15.7,72,34.2,17.4,11.9,8.9
2021-22,Chicago Sky,32,40.6,83.3,30.8,69.9,44.1,7.3,21.2,34.3,14.3,17,84.5,35,21.8,14.5,7
2021-22,Dallas Wings,32,40.3,81.1,29.7,70.7,42,8.2,23.1,35.4,13.6,16.4,82.9,36.1,17.4,13.8,6.8
2021-22,Indiana Fever,32,40,75.3,28.4,68.2,41.6,4.9,17.3,28.4,13.6,17,80,34.3,16.7,15,6.3
2021-22,Los Angeles Sparks,32,40.3,72.8,27,65.8,41.1,6.8,20.2,33.5,11.9,15.6,76.6,29.2,15.4,13.9,8.3
2021-22,Las Vegas Aces,32,40.5,89.3,33.1,70.3,47.2,5.1,13.5,37.5,17.9,21.9,81.9,38.7,20.9,11.8,6.8
2021-22,Minnesota Lynx,32,40.3,82.7,30.7,67.1,45.8,6.8,19.8,34,14.6,17.4,83.7,34.9,20.4,14.6,6.8
2021-22,New York Liberty,32,40.2,78.5,28.3,66.1,42.7,10,27.7,36.2,11.9,14.7,81.3,33.3,19.2,16.9,6.1
2021-22,Phoenix Mercury,32,40.3,82.1,29.5,65.7,45,7.5,21.8,34.6,15.5,19.4,79.8,36.2,19.7,13.7,4.8
2021-22,Seattle Storm,32,40.8,84.8,31,68.8,45,8.6,22.7,37.9,14.2,16.9,83.9,35.6,21.3,12.9,7.6